…分之… | Fraction
倒垂 | Hanging down
倒塌 | Collapse
倒好 | Not bad
倒展 | Backward extension
倒幕 | (This refers to a specific technical term
倒影 | Reflection
倒悬 | Suspended
倒扣 | Upside Down
倒挂 | Upside down
倒掉 | Spill over
倒数 | Count backward
倒映 | Reflection
倒映在 | Reflected in
倒是 | Actually
倒树 | Fallen trees
倒水 | Pouring water
倒油 | Turn the oil over
倒流 | To flow back
倒灌 | Backflow
倒立 | Stand on one's head
倒置 | Upside down
倒行逆施 | Reverse sabotage
倒装 | Inversion
倒装句 | Inversion
倒计时 | Countdown
倒计时牌 | Countdown board
倒车 | Reverse
倒转 | Reverse
倒运 | Reverse writing
倒退 | Retreat
倒金字塔 | Inverted pyramid
倒钩 | Hook
倒闭 | Collapse
倒霉 | Unlucky
倔强 | Stubborn
倘一 | If so
倘使 | If
倘给 | To give
倘肯 | If willing
倘能 | If possible
倘若 | If
候气 | Weather conditions
候福顺 | Waiting for Fushun
候补 | Reserve
候车 | To wait for a train
候车室 | Waiting room
候选 | Candidate
候选人 | Candidate
候骑 | Scout
候鸟 | Migratory bird
倚之珠 | Leaning on a Pearl
倚仗 | To rely on
倚杖 | Yi Zhang
倚靠 | To lean on
倚音 | Relying on sound
倜傥 | Handsome
借为 | To use as an excuse
借书 | Borrow books
借以 | In order to
借作 | Borrowed Figure
借助 | With the help of
借助于 | By means of
借口 | Excuse
借名 | Borrow a name
借咏 | Borrowed praise
借喻 | Use analogy
借庙 | Borrow a temple
借弗之怠 | Borrowing from Avoiding Laziness
借扇 | Lend a fan
借指 | Metaphorical reference
借景 | Borrowing scenery
借景抒情 | Use the scenery to express feelings
借条 | IOU
借来 | Borrowed
借款 | Loan
借此 | Take this as an opportunity
借此机会 | Take this opportunity
借物 | Using objects to illustrate
借献鱼 | 
借用 | Borrow
借画 | Borrowing paintings
借着 | By chance
借给 | To lend to
借诗 | To borrow
借贷 | Lending and borrowing
借鉴 | Learn from
借钱 | To borrow money
借风 | To take advantage of a breeze
倡导 | Advocate
倡导者 | Advocate
倡议 | Initiative
倡议书 | Proposal
倦地 | Tired
倦怠 | Fatigue
倦意 | Weariness
倪志亮 | Ni Zhi Liang
倪文尖 | Ni Wenjian
倪晓雁文鲁 | Ni Xiaoyelan Ru
倪焕之 | Ni Huanzhi
倭人 | Japanese People
倭奴 | Japanese Slave
倭寇 | Wokou
倭王 | Japanese King
债主 | Creditor
债券 | Bond
债务 | Debt
债务人 | Debtor
债台高筑 | To be deeply in debt
债权 | Debt
债权人 | Creditor
值为 | Equals
值前 | Before (a certain time
值即 | Value As
值图 | Value chart
值域 | Range
值年 | Celebrating the New Year
值异 | Different Value
值得 | 
值得一提 | Worth mentioning
值得尊重 | Worth Respecting
值得注意 | Worth noting
值得称赞 | Worth praising
值得纪念 | Ziwushi Jinian
值日 | Duty day
值日生 | On-duty student
值时 | At the time
值水 | To patrol the waterways
值班 | On duty
值用 | Used for
值算出 | Calculate to be
值钱 | Valuable
倾侧 | Leaning
倾倒 | Pour
倾入 | Pour into
倾力 | Dedicate
倾吐 | Pour out
倾向 | Tendency
倾向性 | Tendency
倾听 | Listen
倾城 | To make one's heart sink
倾害 | To harm
倾家荡产 | Ruin
倾度 | Inclination
倾心 | Be infatuated with
倾斜 | Tilt
倾注 | Invest
倾泻 | Pour down
倾用 | With pouring
倾盆 | Like a pouring cauldron
倾耳 | Listen attentively
倾茶 | Dump tea
倾覆 | To overthrow
倾诉 | Pour out
倾销 | Dump
倾颓 | To lean and collapse
偃师 | Yanshi
假之于 | To appoint
假人 | mannequin
假令 | If
假余余 | Relying on Myself
假作 | To pretend
假使 | If
假借 | Borrowing words
假充 | Pretend to be
假冒 | Fake
假冒伪劣 | Counterfeit and substandard goods
假动作 | Feint
假名 | Kana
假如 | If
假定 | Assume
假寐 | To feign sleep
假小子 | Little man
假山 | Artificial mountain
假性近视 | Pseudo myopia
假想 | Hypothetical
假意 | False intention
假托 | False pretext
假扮 | Pretend to Be
假日 | Holiday
假日酒店 | Holiday Inn
假期 | Holiday
假根 | False roots
假烦 | False complaint
假若 | If
假药 | Fake medicine
假装 | Pretend
假设 | Hypothesis
假话 | False words
假说 | Hypothesis
假诸人 | Temporary Officials
假象 | Illusion
假造 | Forgery
假释 | Parole
假钱 | Counterfeit money
假面具 | Mask
假面舞会 | Masquerade ball
偌大 | So big
偏东 | Northeast
偏东北 | Northeast
偏东南 | Northeast
偏于 | Leaning towards
偏低 | Slightly low
偏偏 | Just
偏僻 | Remote
偏北 | Northeast
偏北风 | Northeasterly wind
偏南风 | Southerly wind
偏向 | Bias
偏宜 | Suitable
偏少 | Slightly lacking
偏左 | Leaning left
偏差 | Deviation
偏微分 | partial differential
偏执 | Stubborn
偏折 | Refraction
偏指 | To point sideways
偏方 | Folk remedy
偏旁 | Radical
偏正 | Slightly Right
偏爱 | Favoritism
偏瘫 | Hemiplegia
偏硅酸 | Phosporic acid
偏离 | To deviate
偏私 | Bias
偏袒 | Favoritism
偏西 | Northwest
偏西南 | Southwest
偏要 | Stubbornly
偏见 | Prejudice
偏转 | Deviation
偏轻 | Mild
偏过 | Deviate
偏远 | Remote
偏重 | Emphasize
偏重于 | Primarily focused on
偏题 | Skewed topic
偏食 | Picky eater
偏高 | Higher than average
偏高有 | Slightly high
做不了 | Unable to do
做个 | To make oneself
做主 | Make the decision
做买卖 | To trade
做事 | To do things
做些 | To do something
做人 | How one behaves
做以 | To take as
做会 | Done correctly
做伴 | Companion
做作 | Affected
做作业 | Do homework
做做 | Do some
做光 | Illumination
做出 | Make
做到 | Achieve
做功 | Work
做品析 | Product analysis
做图 | Draw Chart
做大 | Expand
做大竟 | To achieve great success
做大老 | Become a senior
做好 | Do well
做好事 | Do Good Deeds
做学问 | To study
做官 | To hold office
做定 | Agreed
做客 | 
做小云 | 
做工 | Work
做得好 | Done well
做戏 | Play acting
做成 | To achieve
做手术 | Perform surgery
做操 | To do exercises
做来 | To do
做桥 | Bridge
做梦 | Dream
做次 | Do once
做法 | Method
做点 | Do a little
做点事 | Do something
做生意 | Do business
做田 | To farm
做笔 | Brushstroke
做能 | To be able to do
做菜 | To cook
做证 | Testify
做起 | To begin to do
做足 | To do thoroughly
做过 | Having done
做饭 | Cook
停一停 | Stop for a moment
停下 | Stop
停下来 | Stop
停不下来 | Cannot be stopped
停业 | Suspend business
停产 | Shut down
停住 | Stop
停停 | Pause
停办 | To discontinue
停宿 | Resting overnight
停工 | Work stoppage
停急 | Stop signal
停息 | To cease
停战 | Ceasefire
停战协定 | Armistice Agreement
停放 | Park
停杯 | Put down the cup
停歇 | Pause
停止 | 
停泊 | Anchor
停滞 | Stagnation
停滞不前 | Stagnant
停火线 | Ceasefire Line
停球 | Stop the ball
停电 | Power outage
停留 | Stay
停脚 | To stop
停船 | To dock the boat
停表 | Stopwatch
停课 | Suspend classes
停车 | Park
停车位 | Parking space
停车场 | Parking lot
停车处 | Parking lot
停连 | Ting Lian
停连指 | Stopping together
停连来 | Ting Lian Lai
停靠 | Anchor
停顿 | Pause
停顿下来 | To stop
停驻 | To stay
健体 | Maintain fitness
健全 | Sound
健壮 | Strong
健将 | Valiant warrior
健康 | Healthy
健康人 | Healthy person
健康成长 | Healthy growth
健康权 | Right to Health
健康状况 | Health condition
健步 | Walking briskly
健硕 | Muscular
健美 | Bodybuilding
健美操 | Gymnastics
健能 | Fitness
健身 | Exercise
健身器材 | Fitness equipment
健身房 | Gym
健身操 | Gymnastics
健身活动 | Fitness activity
健身运动 | Fitness exercise
偶以 | Occasionally
偶像 | Idol
偶像崇拜 | Idolatry
偶听 | Accidentally overhear
偶尔 | Occasionally
偶得 | By chance
偶数 | Even number
偶有 | Occasionally
偶次 | Even power
偶然 | Accidental
偶然性 | Chance
偶然间 | By chance
偶而 | Occasionally
偶见 | Occasionally see
偶读 | Occasionally read
偶遇 | Chance encounter
偷东西 | Stealing
偷偷 | Secretly
偷偷地 | Secretly
偷偷摸摸 | Stealthily
偷后 | After (a specific event
偷听 | Eavesdrop
偷喝 | Sneak to drink
偷得 | To be extravagant
偷懒 | Shirk work
偷拍 | Taking photos secretly
偷排 | Modified
偷猎 | Poaching
偷猎者 | Poacher
偷生 | Attempt to live
偷看 | Peek
偷税 | Tax evasion
偷空 | To snatch time
偷窃 | Theft
偷窥 | Peep
偷笑 | To smile secretly
偷袭 | Surprise attack
偷越 | To cross over illegally
偿还 | Repay
偿还债务 | Repay debt
傀儡 | Puppet
傀儡政权 | Puppet government
傀是 | Kui Shi
傀有 | Kui You
傀要 | Kui Yao
傅为 | Fù wéi
傅作义 | Fu Zuoyi
傅华强 | Fu Huachuang
傅天 | Fu Tian (likely a historical figure
傅岩 | Fù yán
傅彩 | Fu Cai
傅彩涂 | Fu Cai Tu
傅抱石 | Fu Baoshi
傅立叶 | Francois-Maire Charles Fourier (French sociologist and socialist
傅聪 | A renowned educator
傅聪去 | Fu Cong's departure
傅说 | Fu Siyu
傅雷 | Fu Lei
傅雷写 | Fu Lei wrote
傅雷常以 | Frequent discouragement
傅雷有 | Lei Fu's works
傈僳 | Lisu
傈僳族 | Lisu族
傍午 | Near noon
傍地 | Grounded
傍晚 | Evening
傍晚时候 | Evening time
傍水 | By the water
傣族 | Dai People
储值 | Recharge
储备 | Reserve
储备粮 | Grain reserves
储存 | Store
储存起来 | Store it
储存量 | Storage capacity
储望华 | Chu Wanghua
储水 | Water storage
储水量 | Storage volume
储物 | Storage
储碳库 | Carbon storage facility
储蓄 | Save
储蓄所 | Savings Bank
储藏 | Store
储藏室 | Storage room
储量 | Reserves
催人泪下 | To move one to tears
催促 | Urge
催力 | Stimulate
催动 | Encourage
催化 | Catalyze
催化作用 | Catalytic Effect
催化剂 | Catalyst
催化效率 | Catalytic efficiency
催吐 | Induce vomiting
催眠 | Hypnotize
催眠曲 | Lullaby
催眠术 | Hypnosis
催稿 | To urge completion
傲世 | Arrogant towards the world
傲慢 | Arrogant
傲慢无礼 | Arrogant and impolite
傲然 | Proudly
傲然挺立 | Proudly standing tall
傲视 | To look down on
傲雪凌霜 | Proudly facing the snow and frost
傲骨 | Lofty and unyielding character
傻子 | Fool
傻瓜 | Fool
傻瓜相机 | Dummy camera
像不像 | Like or unlike
像是 | Like
像样 | Decent
像样儿 | Likeable
像球 | Like a ball
像生 | Like alive
像素 | Pixel
像距 | Image distance
像霞 | Like a Rainbow
僚属 | Colleagues
僧人 | Monk
僧侣 | Monk
僧俗 | Laymen
僧尼 | Buddhist monk and nun
僧舍 | Monastery lodging
僵劲 | Stiff
僵化 | Rigid
僵卧 | Rigidly lying
僵尸 | Zombie
僵局 | Deadlock
僵持 | Stalemate
僵着 | Stiff
僵硬 | Stiff
僻路里行 | Traveling on a remote road
僻远 | Remote
僻静 | Secluded
儒勒 | Jules
儒字 | Confucian
儒学 | Confucian learning
儒家 | Confucianism
儒家思想 | Confucianism
儒有 | Confucianism exists
儒林 | Confucian scholars
儒林外史 | The Romance of the Tang Dynasty
儒梁 | Ru Liang
儒生 | Scholar
儒略 | Julian
儒略历 | Julian calendar
儒者 | Confucian scholar
儒门 | Confucian school
儿一看 | Look! See!
儿一言 | A word from a child
儿上 | On the child
儿不响 | The child doesn't ring
儿为 | A child's name
儿乱 | A chaotic mess
儿像 | Like a child
儿光 | A flash of light
儿别 | Separation of children
儿化 | Child-like
儿哥弟 | Younger brother
儿女 | Children
儿媳 | Daughter-in-law
儿媳妇 | Daughter-in-law
儿子 | Son
儿孙满堂 | Grandchildren fill the hall
儿小 | Small
儿彩 | Rainbow
儿戏 | Child's play
儿故 | Hometown
儿时 | Childhood
儿暗 | Dark
儿有 | 
儿歌 | Nursery Rhyme
儿点 | 
儿爱 | A term of affection
儿用 | Children's
儿白 | White
儿皇帝 | Emperor Dow
儿科 | Pediatrics
儿穷 | Poor
儿童 | Child
儿童乐园 | Children's playground
儿童团 | Children's group
儿童教育 | Child education
儿童期 | Childhood
儿童用 | Children's
儿童票 | Child ticket
儿童节 | Children's Day
儿管 | Child's care
儿请 | Please
儿贴 | A small token
儿长 | Child grows
儿闭 | "Children closed" - A euphemism for death of children.
儿马 | Horse
兀自 | Silently
兀鹫 | Golden Eagle
允之任 | To allow him to hold office
允许 | Allow
允许值 | Limit value
允诺 | Promise
元丰 | Yuanfeng
元为 | 
元代 | Yuan Dynasty
元件 | Component
元元 | 
元元元元元 | (This one is difficult to translate directly
元军 | Northern army
元凶 | Culprit
元列 | 
元勋 | Patriot
元口算 | Mental arithmetic
元史 | Former historian
元器件 | Components
元太祖 | Emperor Yuan
元宵 | Yuanxiao
元宵节 | Lantern Festival
元小明 | Yuan Xiao Ming
元小红 | Yuan Xiao Hong
元帅 | General
元年 | First year
元应 | Yuan
元所募 | Funds needed
元方 | Original formula
元方时 | At the time of Yuan Fang
元旦 | New Year's Day
元时 | Moment
元明 | Late Ming
元明清 | Yuan
元朗 | Yuanlong
元朝 | Yuan Dynasty
元末明 | End of Yuan
元本 | Principal
元氏 | Yuanshi
元气 | Vital energy
元气大伤 | Seriously wounded
元江 | Yu River
元现 | Current price
元琦琪 | Yuan Qiqi
元用 | Principal
元素 | Element
元素周期律 | Periodic law of elements
元素符号 | Element Symbol
元老 | Elder statesman
元老院 | Senate
元角分 | Yuan
元试 | Examination Candidate
元载 | Yuanzai
元阳 | Yuan Yang
元阳县 | Yuanjiang County
元音 | Vowels
元首 | Head of state
兄女 | Brother's daughter
兄妹 | Brother and Sister
兄妹俩 | Brother and sister
兄子 | Brother's son
兄弟 | Brother
兄弟二人 | *Two Brothers*
兄弟姐妹 | Siblings
兄谢 | Brother Xie
兄长 | Older brother
充任 | To hold the position of
充值 | Recharge
充入 | To fill
充其量 | To the best of one's ability
充军 | Mobilize troops
充分 | Sufficient
充分体现 | Fully demonstrate
充分准备 | Adequate preparation
充分利用 | Make Full Use Of
充分利用网络 | To make full use of the internet
充分反映 | Fully reflect
充分发挥 | Fully utilize
充分考虑 | Fully considered
充分肯定 | Fully affirm
充分认识 | Fully aware
充分证明 | Fully prove
充分说明 | Fully explain
充分调动 | To fully mobilize
充分运用 | Fully Utilize
充塞 | Filled
充实 | Enrich
充当 | Act as
充斥 | Filled with
充气 | Inflation
充氮 | Nitrogen charging
充沛 | Abundant
充溢 | Overflowing
充满 | Fill
充满信心 | Full of confidence
充满希望 | Full of hope
充满活力 | Full of vitality
充满热情 | Full of enthusiasm
充满生机 | Full of vitality
充炭 | Charcoal filling
充电 | Charge
充电器 | Charger
充盈 | Full
充胖 | Stout
充血 | Bloated
充裕 | Abundant
充足 | Sufficient
充饥 | To satisfy hunger
充饷 | To pay subsidies
兆头 | Omen
兆欧 | Megaohm
兆赫 | Megahertz
先不动 | Stillness
先不看 | Let's not look at that yet
先不读 | Don't read yet
先世 | Ancestors
先主 | Elder brother
先书时 | When first writing
先于 | Prior to
先人 | Ancestors
先令 | Shilling
先以 | First of all
先伸 | First extend
先作 | First
先使 | First make
先例 | Precedent
先倒 | First invert
先写 | Write First
先决条件 | Prerequisites
先出 | Lead out
先分 | First divide
先列 | First list
先到 | To arrive first
先前 | Previously
先加 | Add first
先北后 | Advance North
先去 | Go ahead
先发制人 | Preemptive strike
先取 | To take first
先后 | Successively
先后顺序 | Order of precedence
先向 | Initially
先吸 | Take a deep breath
先哲 | Sage
先图 | Preliminary sketch
先声 | Opening remarks
先声夺人 | To make a stunning opening
先天 | Innate
先天下之忧而忧 | Worry about the world before one's own concerns
先天性 | Inborn
先头 | Vanguard
先头部队 | Vanguard troops
先夺 | First seize
先威众 | To inspire the people with authority
先富 | Become rich first
先帝 | Former Emperor
先干 | To do first
先年 | Last year
先弃 | First discard
先忧 | First worry
先总说 | To first state the general case
先想 | To think ahead
先手 | Take the initiative
先扎 | First tie
先打 | Strike first
先扬 | To advance first
先抑 | 
先抽 | Draw First
先摸 | To touch first
先放 | First of all
先断 | Cut off first
先是 | First
先替 | To take the initiative
先有 | Previously
先来 | Come first
先来后到 | Arrive late
先民 | Ancestors
先求 | First seek
先汉即 | Early Han Dynasty
先河 | Yellow River
先派 | Advance scout
先烈 | Martyrs
先猜 | Guess first
先王 | Ancient king
先生 | Mr.
先用 | First use
先由 | First
先画 | Sketch first
先着 | Starting position
先睹为快 | To give a preview
先知 | Foreteller
先知先觉 | Prophets and Foretellers
先砍 | Cut first
先祖 | Ancestor
先秦 | Pre-Qin period
先行 | To proceed ahead
先行者 | Pioneer
先要 | To begin with
先觉 | First to notice
先设 | To set up first
先说 | To begin with
先谈 | Let's discuss this first
先贤祠 | Panthéon
先走 | Go first
先跌 | First fall
先达 | Pioneers
先迈 | First step
先进 | 
先进事迹 | Advanced deeds
先进人物 | Outstanding person
先进分子 | Vanguard members
先进性 | Advancement
先进青年 | Advanced youth
先量 | Measure first
先锋 | Pioneer
先锋派 | Avant-garde
先锋队 | Vanguard
先长 | Grow first
先飞 | To fly first
先驱 | Pioneer
先验 | A priori and a posteriori
光下 | In sunlight
光下进 | Light-entering
光中 | In the light
光临 | Visit
光亮 | Bright
光亮度 | Light intensity
光以 | Light travels
光伏 | Photovoltaic
光会 | Light converges
光像 | Like light
光光 | Brightly
光利 | Neat
光刻 | Photolithography
光化 | Christianization
光化学 | Photochemistry
光华 | Brilliant
光反射 | Light reflection
光合 | Photosynthesis
光合作用 | Photosynthesis
光和声 | Tonal
光和影 | Light and shadow
光和热 | Light and heat
光图 | Light diagram
光圈 | Aperture
光在 | Light is
光处 | Light place
光复会 | Association for Restoring the Nation
光头 | Bald
光夺 | To seize the light
光子 | photon
光学 | Optics
光学仪器 | Optical instruments
光对 | Light reflection
光导纤维 | Optical fiber
光射 | Light Radiation
光屁股 | Naked Butt
光屏 | LCD screen
光带 | Light strip
光年 | Light-year
光应 | Respond Promptly
光度 | Luminosity
光彩 | Glory
光彩夺目 | Brilliant
光彩照人 | Shining brightly
光影 | Light and shadow
光心 | Core of light
光悦 | Joyful
光敏 | Light-sensitive
光斑 | Bright spot
光明 | Bright
光明之路 | The way of light
光明前途 | Bright Future
光明日报 | Light News Report
光明正大 | Righteous and just
光明磊落 | Open and aboveboard
光是 | Only
光晕 | Halo
光景 | Circumstances
光有 | Only
光未然 | 
光束 | Beam of light
光柱 | Beams of light
光标 | Cursor
光武帝 | Emperor Guangwu
光比 | Light intensity
光气 | Phosgene
光污染 | Light pollution
光沿 | Light along
光波 | Light waves
光波长 | Optical wavelength
光泽 | Luster
光洁 | Smooth
光源 | Light source
光溜溜 | Slippery
光滑 | Smooth
光热 | Light and heat
光照 | Sunlight
光照强度 | Light intensity
光环 | Aura
光电 | Photoelectric
光电子 | Photoelectronic
光电效应 | Photoelectric effect
光盘 | CD
光着 | 
光碟 | CD
光秃 | Bald
光秃秃 | Bald
光纤 | Optical fiber
光纤通信 | Fiber optic communication
光线 | Light
光经 | Light path
光绪 | The Xuantong Emperor
光绪帝 | Emperor Guangxu
光绪皇帝 | Emperor Guangxu
光缀 | Shining adornment
光缆 | Optical cable
光耀 | Brilliant
光背 | To ride bareback
光能 | Solar energy
光色 | Light and color
光艳 | Brilliant color
光芒 | Light
光荣 | Glorious
光荣义务 | Glorious Duty
光荣传统 | Glorious traditions
光荣称号 | Honor Title
光荣革命 | Glorious Revolution
光衣 | Light clothing
光要 | Light rays
光谱 | Spectrum
光谱仪 | Spectrometer
光路 | Light path
光路图 | Road map
光身 | Naked body
光辉 | Glory
光辉业绩 | Brilliant achievements
光辉灿烂 | Brilliant and glorious
光辐射 | Light radiation
光逆着 | Light shining through
光速 | Speed of light
光阴 | Time
光靠 | Rely only on
光面 | Shiny surface
光顾 | Patronize
克五 | Five-Luck
克五某 | Kuo Wu's name
克五烟 | Five-cent cigarettes
克五罗 | Five-Luck
克五送 | Five-cent delivers
克什米尔 | Kashmir
克伐洛瑙 | Calvo-Navo
克伦威尔 | Cromwell
克兰 | Crimea
克利夫兰 | Cleveland
克利斯 | Chris
克制 | Restrain
克劳 | Klaus
克大 | To eat a large amount
克威克 | Quicke
克拉 | Carat
克拉克 | Clark
克拉姆 | Kram
克拉拉 | Clara
克拉玛依 | Kelamayi
克捷 | Czech
克明俊德 | To be bright
克星 | Rival
克服 | Overcome
克服困难 | Overcome difficulties
克朗 | Krone (currency of Denmark
克格列 | Cheglev
克水 | To drink water
克油克 | To eat a lot of oil
克洛瓦 | Klowa
克洛维 | Clovis
克罗 | K Luo
克罗地亚 | Croatia
克罗斯 | Cross
克莱尔 | Claire
克蒸 | Kilogram steam
克里 | Kry
克里克 | 
克里姆林宫 | Kremlin
克里斯蒂娜 | Christina
克里木 | Crimea
克里特 | Crete
克里特岛 | Island of Crete
克里米亚 | Crimea
克隆 | Clone
克隆人 | Clones
克隆技术 | Cloning Technology
克隆牛 | Cloned cattle
克隆羊 | Cloned Sheep
克鲁奇 | Crouch
克鲁格 | Kruger
免不了 | Inevitable
免不掉 | Inevitable
免于 | To be exempted from
免冠 | To be exempted from honors
免去 | To be relieved of
免受 | Exempt from
免得 | Avoid
免念 | Don't worry about
免疫 | Immunity
免疫力 | Immunity
免疫学家 | Immunologist
免疫系统 | Immune system
免税 | Tax-free
免职 | Remove from office
免费 | Free
免费参观 | Free visit
免费软件 | Freeware
免遭 | Avoid
免除 | Exempt
兑命 | To change one's fate
兑换 | Exchange
兑斯 | Ees
兑现 | Cash
兔子 | Rabbit
兔狐 | Foxglove
兔脚 | Hare's foot (a type of small
兔草 | Moss
兖州 | Yanzhou
党中央 | Central Committee
党人 | Party member
党代表 | Party delegate
党内 | Within the party
党史 | Party History
党员 | Party member
党员干部 | Party cadre
党和人民 | Party and People
党和国家 | Party and State
党和政府 | Party and Government
党外人士 | Non-Party Personnel
党委 | Party Committee
党徒 | Party members
党心 | Party spirit
党性 | political party spirit or character
党支部 | Party branch
党政 | Party policy
党政军 | Party
党政军民 | Party
党政机关 | Party and Government Offices
党永葆 | Party remains
党派 | Political party
党的基本 | Basic Principles of the Party
党的建设 | Party building
党的领导 | Party Leadership
党章 | Party Constitution
党组 | Leading party group
党风廉政 | Party discipline and integrity
兜儿 | Pocket
兜售 | Peddle
兜肚 | (This is a descriptive term
兜鍪 | Dragon's Blood
兢兢业业 | Dedicated
入主 | Seize control
入云 | Cloud
入京 | Entering the capital
入伍 | Enlist
入会 | Membership
入侵 | Invade
入关 | Ruguan
入列 | Enlistment
入口 | Entrance
入口处 | Entrance
入团 | Join a group
入场 | Enter the venue
入场券 | Ticket
入境 | Enter the country
入套 | Fall into the trap
入学 | Enroll
入学率 | Percentage of children who enter school
入宫 | Enter the palace
入射 | Reflection
入射光 | Incident light
入射点 | Point of incidence
入射角 | Angle of incidence
入市 | Entering the market
入座 | To take a seat
入户 | Enter the House
入手 | To grasp
入拜 | To pay respects
入指 | To point
入朝 | Enter the country (as a visitor
入木三分 | To cut through wood with three strokes
入梦 | To fall asleep
入楚 | Entering Chu
入比年 | Year of entry
入水 | Entering the Water
入水处 | Place of entry into the water
入水管 | Inflow Pipe
入海 | Ru Hai
入海口 | Mouth of a river
入涧 | Entering the ravine
入狱 | To be imprisoned
入画 | To be depicted in a painting
入盛 | Into the vessel
入眠 | To fall asleep
入睡 | To fall asleep
入石 | Carved into stone
入社 | Join the Collective
入神 | To be absorbed
入秋 | Autumn arrives
入篮 | Basket
入耳 | Into the ears
入药 | Medicinal
入藏 | Tibetan
入见 | To enter and see
入览否 | To read and review
入超 | Import deficit
入轨 | Orbit
入迷 | Lost in thought
入选 | Be selected
入道 | Attain enlightenment
入门 | Introduction
入雉 | To hunt pheasant
入鞘 | Drawn back
入题 | To get to the point
全不 | Not at All
全且 | Complete
全世界 | The whole world
全书 | The whole book
全人类 | All of humanity
全仗 | Entirely relying on
全会 | Plenary session
全体 | All
全体会议 | General Meeting
全体同仁 | All Colleagues
全体同学 | All students
全体学生 | All Students
全俄 | Throughout Russia
全做 | Do it all
全元 | Full yuan
全光 | Bright and clear
全免费 | Completely Free
全党 | The entire party
全党全军 | Entire Party and entire army
全党全国 | Whole party
全党同志 | All Party Members
全军 | Entire army
全军覆没 | Complete annihilation of the army
全冻 | Completely Frozen
全剧 | The entire drama
全副 | Complete
全副精力 | Full Attention
全力 | All one's strength
全力以赴 | Go all out
全力支持 | Full support
全区 | Entire region
全卷 | Complete Scroll
全县 | Throughout the County
全句 | Whole sentence
全同 | Identical
全名 | Full name
全含 | Completely holding
全咬 | Completely bitten
全唐诗 | Complete Tang Poetry
全团 | The entire company
全园 | The entire garden
全国 | National
全国三八红旗手 | National Three-Eight Red Flag Pacesetter
全国五一劳动奖章 | National May Day Labor Medal
全国人大 | National People's Congress
全国人大常委会 | Standing Committee of the National People's Congress
全国人大常委会法制工作委员会 | Standing Committee of the National People's Congress on Lawmaking Affairs
全国人民代表大会 | National People's Congress
全国人民代表大会常务委员会 | Standing Committee of the National People's Congress
全国代表大会 | National People's Congress
全国同胞 | All Chinese People
全国学联 | National Student Union
全国性 | National
全国政协 | National People's Congress Standing Committee
全图 | Full map
全在 | It's all about
全场 | 
全城 | Throughout the city
全境 | Throughout the territory
全天候 | All-weather
全套 | Complete set
全完 | Complete
全家 | Whole family
全家人 | The whole family
全家福 | Family Photo
全宽 | Full width
全局 | Overall situation
全局性 | Overall
全岛 | The whole island
全州 | Quanzhou
全市 | Throughout the whole city
全师 | The entire army
全帖 | Complete set
全带 | Full-length
全年 | Whole year
全床 | Full bed
全开 | Fully open
全形 | Full-width
全心 | Wholeheartedly
全心全意 | Wholeheartedly
全息 | Hologram
全情 | Completely
全户 | All households
全拿 | Take it all
全数 | All
全文 | Full text
全新 | Brand new
全方位 | All-round
全无所 | Nothing at all
全无读 | No reading at all
全是 | All
全景 | Panorama
全景图 | Panorama
全景式 | Panoramic
全曲 | Full score
全有工 | All work
全权 | Full power
全权代表 | Plenipotentiary Representative
全村 | Whole Village
全校 | Whole school
全校同学 | All students
全校学生 | All students in the school
全校师生 | All students and faculty
全株 | Entire plant
全桥 | Qianqiao
全椒 | Qianjiao
全楼 | The whole floor
全歼 | Completely annihilate
全民 | Universal
全民公决 | Plebiscite
全然 | Completely
全然不知 | Completely unaware
全王 | General Wang
全班 | 
全班同学 | Entire class
全球 | 
全球化 | Globalization
全球卫星 | Global satellites
全球性 | Global
全球战略 | Global Strategy
全用 | To use up completely
全画 | The whole painting
全疆 | Xinjiang
全白 | White
全盘否定 | Blanket denial
全盛 | Prosperity
全盛时期 | Golden age
全省 | Throughout the province
全看 | It Depends
全矣 | Completely Done
全知全能 | Omniscient and omnipotent
全石 | Completely stone
全社 | Throughout the company
全神贯注 | Fully concentrated
全称 | Full name
全程 | Whole process
全章 | The whole chapter
全笼 | Completely
全等 | Congruent
全等形 | Congruent Figure
全等时 | When Equal
全等来 | Equal in all respects
全篇 | Entire text
全篇文章 | The entire article
全线 | Entire front line
全线崩溃 | Complete collapse of the front line
全线贯通 | All lines connected
全线通车 | All lines open
全组 | The whole group
全给 | All given
全聚德 | Quan Judy
全胜 | slam
全能 | All-round
全能运动 | All-around sport
全自动 | Fully automatic
全船 | The whole ship
全营 | The Entire Battalion
全蝎 | Scorpion
全表 | Entire table
全词 | Entire word
全译本 | Full translation edition
全诗 | Complete poem
全读 | Complete reading
全貌 | Entire view
全赢 | Win Completely
全路 | Quan Lu
全身 | Whole body
全身上下 | From head to toe
全身像 | Full-body image
全身心 | With all one's heart and soul
全身性 | All-around
全过程 | Entire process
全选 | Select all
全部 | All
全部整 | All Complete
全部种 | All suits
全部都是 | All of them
全都 | All
全镇 | The whole town
全长 | Full length
全长约 | Approximately the Length
全队 | The whole team
全集 | Complete collection
全面 | 
全面完成 | Fully Completed
全面实施 | Comprehensive implementation
全面实现 | Achieve completely
全面推行 | Implement comprehensively
全面提高 | Comprehensive improvement
全面禁止 | Complete prohibition
